Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,Report,1W_value,1M_value,3M_value,6M_value,1Y_value,5Y_value,1W_FLG,1M_FLG,3M_FLG,6M_FLG,1Y_FLG,5Y_FLG
500490,Bajaj Holdings & Investment Limited,BAJAJHLDNG,BAJAJ HOLDINGS & INVESTMENT LTD.,Active,A ,10.0,INE118A01012,Holding Company,Equity,Financial Services,Financial Services,Finance,Holding Company,C,0.28,1.12,12.65,26.83,1.12,26.41,N,N,N,N,N,N
500493,Bharat Forge Ltd,BHARATFORG,BHARAT FORGE LTD.,Active,A ,2.0,INE465A01025,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,C,-8.65,-2.6,-8.37,4.69,-2.6,-7.08,N,N,N,N,N,N
500495,Escorts Kubota Limited,ESCORTS,Escorts Kubota Ltd,Active,A ,10.0,INE042A01014,Tractors,Equity,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Tractors,C,-4.07,-7.26,1.68,6.02,-7.26,-5.94,N,Y,N,N,Y,Y
500500,Hindustan Motors Ltd.,HINDMOTORS,HINDUSTAN MOTORS LTD.,Active,T ,5.0,INE253A01025,Passenger Cars & Utility Vehicles,Equity,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles,C,-7.88,0.28,-23.46,-45.59,0.28,-27.3,N,N,Y,Y,N,Y
500510,Larsen & Toubro Limited,LT,LARSEN & TOUBRO LTD.,Active,A ,2.0,INE018A01030,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,C,-2.7,4.54,2.59,4.55,4.54,3.2,N,N,N,N,N,N
500520,Mahindra & Mahindra Ltd.,M&M,MAHINDRA & MAHINDRA LTD.,Active,A ,5.0,INE101A01026,Passenger Cars & Utility Vehicles,Equity,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles,C,-3.2,-6.93,9.38,34.46,-6.93,2.7,N,Y,N,N,Y,N
500530,Bosch Ltd,BOSCHLTD,BOSCH LTD.,Active,A ,10.0,INE323A01026,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,C,-6.1,-6.04,13.94,20.72,-6.04,18.55,N,N,N,N,N,N
500547,Bharat Petroleum Corpn. Ltd.,BPCL,BHARAT PETROLEUM CORPORATION LTD.,Active,A ,10.0,INE029A01011,Refineries & Marketing,Equity,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing,C,-2.9,-6.45,-6.3,2.21,-6.45,5.7,N,Y,Y,N,Y,N
500550,Siemens Ltd.,SIEMENS,SIEMENS LTD.,Active,A ,2.0,INE003A01024,Heavy Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,C,-5.22,-8.16,4.16,11.83,-8.16,2.55,N,Y,N,N,Y,N
500570,Tata Motors Ltd.,TATAMOTORS,TATA MOTORS LTD.,Active,A ,2.0,INE155A01022,Passenger Cars & Utility Vehicles,Equity,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles,C,-4.09,-10.59,-19.4,-17.03,-10.59,-13.48,N,Y,Y,Y,Y,Y
500575,Voltas Ltd.,VOLTAS,VOLTAS LTD.,Active,A ,1.0,INE226A01021,Household Appliances,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,C,-4.62,-2.72,21.02,31.78,-2.72,19.73,N,N,N,N,N,N
500620,Great Eastern Shipping Co. Ltd.,GESHIP,GREAT EASTERN SHIPPING CO.LTD.,Active,A ,10.0,INE017A01032,Shipping,Equity,Services,Services,Transport Services,Shipping,C,-15.96,-2.8,-7.4,26.58,-2.8,8.65,N,N,N,N,N,N
500645,Deepak Fertilizers &Petrochemicals,DEEPAKFERT,DEEPAK FERTILISERS & PETROCHEMICALS CORPORATION LTD.,Active,A ,10.0,INE501A01019,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,C,-8.09,28.88,41.47,150.66,28.88,140.44,N,N,N,N,N,N
500650,Excell Industries Ltd.,EXCELINDUS,EXCEL INDUSTRIES LTD.,Active,B ,5.0,INE369A01029,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,C,-4.04,4.99,16.59,69.58,4.99,56.46,N,N,N,N,N,N
500655,GARWARE HI-TECH FILMS LIMITED,GRWRHITECH,Garware Hi-Tech Films Ltd,Active,B ,10.0,INE291A01017,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,C,-8.1,11.63,44.87,165.53,11.63,102.6,N,N,N,N,N,N
500660,GlaxoSmithkline Pharmaceuticals Ltd.,GLAXO,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,Active,A ,10.0,INE159A01016,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,C,-6.08,-6.54,-8.49,30.57,-6.54,4.87,N,Y,Y,N,Y,N
500670,Gujarat Narmada Valley Fert.Co.Ltd,GNFC,GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LTD.,Active,A ,10.0,INE113A01013,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,C,-14.5,-3.11,-5.37,-4.83,-3.11,-2.95,N,N,N,N,N,N
500672,Novartis India Limited.,NOVARTIND,NOVARTIS INDIA LTD.,Active,B ,5.0,INE234A01025,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,C,,,,,,,N,N,N,N,N,N
500674,Sanofi India Ltd,SANOFI,Sanofi India Ltd,Active,A ,10.0,INE058A01010,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,C,-4.75,-4.69,0.09,-20.24,-4.69,-31.3,N,N,N,Y,N,Y
500680,Pfizer Ltd.,PFIZER,PFIZER LTD.,Active,A ,10.0,INE182A01018,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,C,-2.6,-6.78,-8.93,24.3,-6.78,7.97,N,Y,Y,N,Y,N
